gfsCode,revStreamName,agencyName,companyName,year,payment,paymentUSD
1422E,1.2.2License fee for exploitation and exploration of mineral resources,Mineral Resources Authority,AGM Mining,2012,19357e4,143392.62035809262
1422E,1.3.1 Customs service fee,Customs Office,AGM Mining,2012,7e3,5.185454060580919
1422E,"Stamp fee for licensing possess, utilization, sale, montage, place, rent, produce, decommission, demontage, store, transport, import, export of nuclear generator, dump treatment, deactivate and other related activities, and revenues.",Not available,AGM Mining,2012,0,0
1422E,Stamp fee paid to local budget,Not available,AGM Mining,2012,0,0
1422E,Stamp fees paid to state central administration and ministries,Not available,AGM Mining,2012,0,0
1422E,1.2.4 Payment for recruiting foreign experts and workers (State Budget),Ministry of Labour,AGM Mining,2012,0,0
1422E,2.2.4 Payment for recruiting foreign experts and workers (Local Budget),Local Department of Taxation,AGM Mining,2012,0,0
143E,1.6.1 Penalty (to state),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",AGM Mining,2012,0,0
143E,1.6.2 Compensation (to State Budget),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",AGM Mining,2012,0,0
143E,2.5.1 Penalty (to Local budget),Local Department of Taxation,AGM Mining,2012,0,0
143E,2.5.2 Compensation (to Local Budget),Local Department of Taxation,AGM Mining,2012,0,0
144E1,3. Donationa and assistance paid to state entities,Ministries and Agencies,AGM Mining,2012,48e6,35557.399272554874
1112E1,1.1.1 Corporate income tax,General Department of Taxation,Adamas Mining,2012,0,0
1112E2,1.6.3 Windfall tax,"Mineral Resources Authority, Petroleum Authority",Adamas Mining,2012,0,0
113E,2.1.1 Real estate tax,Local Department of Taxation,Adamas Mining,2012,0,0
113E,2.2.1 Land fee,Local Department of Taxation,Adamas Mining,2012,0,0
1141E,1.1.3 VAT - Value Added Tax,General Department of Taxation,Adamas Mining,2012,1e4,7.407791515115599
1141E,1.1.5 Tax on vehicle's gasoline and diesel fuel,Customs Office,Adamas Mining,2012,0,0
1142E,1.1.4 Excise tax on vehicle's gasoline and diesel fuel,Customs Office,Adamas Mining,2012,0,0
114521E,2.2.2 Fee for water use,Local Department of Taxation,Adamas Mining,2012,6e5,444.4674909069359
114521E,2.2.3 Fee for use of wide spread mineral resources,Local Department of Taxation,Adamas Mining,2012,0,0
114521E,Fee for forestry use and fire wood,Not available,Adamas Mining,2012,0,0
114522E,1.2.11 Fee for air pollution (for only coal extracting companies),General Department of Taxation,Adamas Mining,2012,0,0
114522E,2.5.3 Contribution (deposit) at rate of 50% to Environmental protection special account,"Ministry of Environment, Green development and Tourism",Adamas Mining,2012,15e4,111.11687272673397
11451E,2.1.2 Tax on vehicles and self-moving mechanisms,Local Department of Taxation,Adamas Mining,2012,126e3,93.33817309045654
1151E,1.1.2 Customs tax,Customs Office,Adamas Mining,2012,0,0
116E,1.6.4 Other (State Budget),Other,Adamas Mining,2012,0,0
116E,2.5.4 Other (Local Budget),Other,Adamas Mining,2012,0,0
1212E,1.2.12 Social and health insurance charges paid from entity,General Department of Social Insurance,Adamas Mining,2012,26014e3,19270.628847421718
1412E2,1.4.1 Dividends on State Property,Ministry of Finance,Adamas Mining,2012,0,0
1412E2,2.4.1 Dividends on Local Property,Ministry of Finance,Adamas Mining,2012,0,0
1415E1,1.2.1 Fee and extra charges for exploitation of mineral resources,General Department of Taxation,Adamas Mining,2012,78553e3,58190.424688687555
1415E1,"1.5.4 Royalty 
(otherwise part of 1.5.3 Petroleum income according to Product sharing agreement)",Ministry of Finance,Adamas Mining,2012,0,0
1415E2,1.2.5 Bonus after signing Product Sharing Agreement,Not available,Adamas Mining,2012,0,0
1415E2,1.2.7 Bonus for training,Not available,Adamas Mining,2012,0,0
1415E31,1.5.1 Advance payments to Government,Ministry of Finance,Adamas Mining,2012,0,0
1415E31,1.5.3 Petroleum income according to Product sharing agreement,Ministry of Finance,Adamas Mining,2012,0,0
1415E31,2.2.5 Support activities from oil companies to local budget (according to agreement),Petroleum Authority,Adamas Mining,2012,0,0
1415E31,"1.2.3 Payment for deposit, exploration carried out by Government",Mineral Resources Authority,Adamas Mining,2012,0,0
1415E31,1.2.8 Field deposit according to pledge area under the Production Sharing Agreement,Mineral Resources Authority,Adamas Mining,2012,0,0
1421E,1.2.9 Administration and service charges in accordance with Production Sharing Agreement,Petroleum Authority,Adamas Mining,2012,0,0
1421E,1.2.10 Fee for supporting field office in according to Production Sharing Agreement,Not available,Adamas Mining,2012,0,0
1421E,Service charges paid to local administration,Not available,Adamas Mining,2012,0,0
1421E,Service fees paid to state central administration and ministries,Not available,Adamas Mining,2012,4024794,2981.4834843288168
1421E,Service fee for foreign experts and workers,Not available,Adamas Mining,2012,0,0
1422E,1.2.2License fee for exploitation and exploration of mineral resources,Mineral Resources Authority,Adamas Mining,2012,0,0
1422E,1.3.1 Customs service fee,Customs Office,Adamas Mining,2012,0,0
1422E,"Stamp fee for licensing possess, utilization, sale, montage, place, rent, produce, decommission, demontage, store, transport, import, export of nuclear generator, dump treatment, deactivate and other related activities, and revenues.",Not available,Adamas Mining,2012,0,0
1422E,Stamp fee paid to local budget,Not available,Adamas Mining,2012,0,0
1422E,Stamp fees paid to state central administration and ministries,Not available,Adamas Mining,2012,0,0
1422E,1.2.4 Payment for recruiting foreign experts and workers (State Budget),Ministry of Labour,Adamas Mining,2012,0,0
1422E,2.2.4 Payment for recruiting foreign experts and workers (Local Budget),Local Department of Taxation,Adamas Mining,2012,0,0
143E,1.6.1 Penalty (to state),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Adamas Mining,2012,0,0
143E,1.6.2 Compensation (to State Budget),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Adamas Mining,2012,0,0
143E,2.5.1 Penalty (to Local budget),Local Department of Taxation,Adamas Mining,2012,0,0
143E,2.5.2 Compensation (to Local Budget),Local Department of Taxation,Adamas Mining,2012,0,0
144E1,3. Donationa and assistance paid to state entities,Ministries and Agencies,Adamas Mining,2012,2e6,1481.5583030231196
1112E1,1.1.1 Corporate income tax,General Department of Taxation,Adil-Och,2012,789e3,584.4747505426207
1112E2,1.6.3 Windfall tax,"Mineral Resources Authority, Petroleum Authority",Adil-Och,2012,0,0
113E,2.1.1 Real estate tax,Local Department of Taxation,Adil-Och,2012,0,0
113E,2.2.1 Land fee,Local Department of Taxation,Adil-Och,2012,721e3,534.1017682398347
1141E,1.1.3 VAT - Value Added Tax,General Department of Taxation,Adil-Och,2012,112e4,829.672649692947
1141E,1.1.5 Tax on vehicle's gasoline and diesel fuel,Customs Office,Adil-Och,2012,0,0
1142E,1.1.4 Excise tax on vehicle's gasoline and diesel fuel,Customs Office,Adil-Och,2012,0,0
114521E,2.2.2 Fee for water use,Local Department of Taxation,Adil-Och,2012,557e3,412.61398739193885
114521E,2.2.3 Fee for use of wide spread mineral resources,Local Department of Taxation,Adil-Och,2012,0,0
114521E,Fee for forestry use and fire wood,Not available,Adil-Och,2012,0,0
114522E,1.2.11 Fee for air pollution (for only coal extracting companies),General Department of Taxation,Adil-Och,2012,0,0
114522E,2.5.3 Contribution (deposit) at rate of 50% to Environmental protection special account,"Ministry of Environment, Green development and Tourism",Adil-Och,2012,0,0
11451E,2.1.2 Tax on vehicles and self-moving mechanisms,Local Department of Taxation,Adil-Och,2012,703e3,520.7677435126266
1151E,1.1.2 Customs tax,Customs Office,Adil-Och,2012,533e3,394.8352877556614
116E,1.6.4 Other (State Budget),Other,Adil-Och,2012,0,0
116E,2.5.4 Other (Local Budget),Other,Adil-Och,2012,0,0
1212E,1.2.12 Social and health insurance charges paid from entity,General Department of Social Insurance,Adil-Och,2012,54149e3,40112.45027519945
1412E2,1.4.1 Dividends on State Property,Ministry of Finance,Adil-Och,2012,0,0
1412E2,2.4.1 Dividends on Local Property,Ministry of Finance,Adil-Och,2012,0,0
1415E1,1.2.1 Fee and extra charges for exploitation of mineral resources,General Department of Taxation,Adil-Och,2012,110519e3,81870.17104590609
1415E1,"1.5.4 Royalty 
(otherwise part of 1.5.3 Petroleum income according to Product sharing agreement)",Ministry of Finance,Adil-Och,2012,0,0
1415E2,1.2.5 Bonus after signing Product Sharing Agreement,Not available,Adil-Och,2012,0,0
1415E2,1.2.7 Bonus for training,Not available,Adil-Och,2012,0,0
1415E31,1.5.1 Advance payments to Government,Ministry of Finance,Adil-Och,2012,0,0
1415E31,1.5.3 Petroleum income according to Product sharing agreement,Ministry of Finance,Adil-Och,2012,0,0
1415E31,2.2.5 Support activities from oil companies to local budget (according to agreement),Petroleum Authority,Adil-Och,2012,0,0
1415E31,"1.2.3 Payment for deposit, exploration carried out by Government",Mineral Resources Authority,Adil-Och,2012,0,0
1415E31,1.2.8 Field deposit according to pledge area under the Production Sharing Agreement,Mineral Resources Authority,Adil-Och,2012,0,0
1421E,1.2.9 Administration and service charges in accordance with Production Sharing Agreement,Petroleum Authority,Adil-Och,2012,0,0
1421E,1.2.10 Fee for supporting field office in according to Production Sharing Agreement,Not available,Adil-Och,2012,0,0
1421E,Service charges paid to local administration,Not available,Adil-Och,2012,0,0
1421E,Service fees paid to state central administration and ministries,Not available,Adil-Och,2012,0,0
1421E,Service fee for foreign experts and workers,Not available,Adil-Och,2012,23e3,17.037920484765877
1422E,1.2.2License fee for exploitation and exploration of mineral resources,Mineral Resources Authority,Adil-Och,2012,893e3,661.515782299823
1422E,1.3.1 Customs service fee,Customs Office,Adil-Och,2012,11531e3,8541.924396079796
1422E,"Stamp fee for licensing possess, utilization, sale, montage, place, rent, produce, decommission, demontage, store, transport, import, export of nuclear generator, dump treatment, deactivate and other related activities, and revenues.",Not available,Adil-Och,2012,0,0
1422E,Stamp fee paid to local budget,Not available,Adil-Och,2012,0,0
1422E,Stamp fees paid to state central administration and ministries,Not available,Adil-Och,2012,0,0
1422E,1.2.4 Payment for recruiting foreign experts and workers (State Budget),Ministry of Labour,Adil-Och,2012,4213e3,3120.9025653182016
1422E,2.2.4 Payment for recruiting foreign experts and workers (Local Budget),Local Department of Taxation,Adil-Och,2012,0,0
143E,1.6.1 Penalty (to state),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Adil-Och,2012,0,0
143E,1.6.2 Compensation (to State Budget),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Adil-Och,2012,195e4,1444.5193454475416
143E,2.5.1 Penalty (to Local budget),Local Department of Taxation,Adil-Och,2012,6833e3,5061.743942278488
143E,2.5.2 Compensation (to Local Budget),Local Department of Taxation,Adil-Och,2012,0,0
144E1,3. Donationa and assistance paid to state entities,Ministries and Agencies,Adil-Och,2012,0,0
1112E1,1.1.1 Corporate income tax,General Department of Taxation,Aduunchuluun LLC,2012,95811e3,70974.79128547406
1112E2,1.6.3 Windfall tax,"Mineral Resources Authority, Petroleum Authority",Aduunchuluun LLC,2012,0,0
113E,2.1.1 Real estate tax,Local Department of Taxation,Aduunchuluun LLC,2012,2198e3,1628.2325750224086
113E,2.2.1 Land fee,Local Department of Taxation,Aduunchuluun LLC,2012,4728e3,3502.403828346655
1141E,1.1.3 VAT - Value Added Tax,General Department of Taxation,Aduunchuluun LLC,2012,398456e3,295167.8975946901
1141E,1.1.5 Tax on vehicle's gasoline and diesel fuel,Customs Office,Aduunchuluun LLC,2012,0,0
1142E,1.1.4 Excise tax on vehicle's gasoline and diesel fuel,Customs Office,Aduunchuluun LLC,2012,0,0
114521E,2.2.2 Fee for water use,Local Department of Taxation,Aduunchuluun LLC,2012,918e3,680.035261087612
114521E,2.2.3 Fee for use of wide spread mineral resources,Local Department of Taxation,Aduunchuluun LLC,2012,0,0
114521E,Fee for forestry use and fire wood,Not available,Aduunchuluun LLC,2012,0,0
114522E,1.2.11 Fee for air pollution (for only coal extracting companies),General Department of Taxation,Aduunchuluun LLC,2012,0,0
114522E,2.5.3 Contribution (deposit) at rate of 50% to Environmental protection special account,"Ministry of Environment, Green development and Tourism",Aduunchuluun LLC,2012,0,0
11451E,2.1.2 Tax on vehicles and self-moving mechanisms,Local Department of Taxation,Aduunchuluun LLC,2012,2966e3,2197.1509633832866
1151E,1.1.2 Customs tax,Customs Office,Aduunchuluun LLC,2012,7964e3,5899.565162638062
116E,1.6.4 Other (State Budget),Other,Aduunchuluun LLC,2012,0,0
116E,2.5.4 Other (Local Budget),Other,Aduunchuluun LLC,2012,0,0
1212E,1.2.12 Social and health insurance charges paid from entity,General Department of Social Insurance,Aduunchuluun LLC,2012,236803e3,175418.7254153919
1412E2,1.4.1 Dividends on State Property,Ministry of Finance,Aduunchuluun LLC,2012,0,0
1412E2,2.4.1 Dividends on Local Property,Ministry of Finance,Aduunchuluun LLC,2012,0,0
1415E1,1.2.1 Fee and extra charges for exploitation of mineral resources,General Department of Taxation,Aduunchuluun LLC,2012,99427e3,73653.44869733986
1415E1,"1.5.4 Royalty 
(otherwise part of 1.5.3 Petroleum income according to Product sharing agreement)",Ministry of Finance,Aduunchuluun LLC,2012,0,0
1415E2,1.2.5 Bonus after signing Product Sharing Agreement,Not available,Aduunchuluun LLC,2012,0,0
1415E2,1.2.7 Bonus for training,Not available,Aduunchuluun LLC,2012,0,0
1415E31,1.5.1 Advance payments to Government,Ministry of Finance,Aduunchuluun LLC,2012,0,0
1415E31,1.5.3 Petroleum income according to Product sharing agreement,Ministry of Finance,Aduunchuluun LLC,2012,0,0
1415E31,2.2.5 Support activities from oil companies to local budget (according to agreement),Petroleum Authority,Aduunchuluun LLC,2012,0,0
1415E31,"1.2.3 Payment for deposit, exploration carried out by Government",Mineral Resources Authority,Aduunchuluun LLC,2012,0,0
1415E31,1.2.8 Field deposit according to pledge area under the Production Sharing Agreement,Mineral Resources Authority,Aduunchuluun LLC,2012,0,0
1421E,1.2.9 Administration and service charges in accordance with Production Sharing Agreement,Petroleum Authority,Aduunchuluun LLC,2012,0,0
1421E,1.2.10 Fee for supporting field office in according to Production Sharing Agreement,Not available,Aduunchuluun LLC,2012,0,0
1421E,Service charges paid to local administration,Not available,Aduunchuluun LLC,2012,0,0
1421E,Service fees paid to state central administration and ministries,Not available,Aduunchuluun LLC,2012,0,0
1421E,Service fee for foreign experts and workers,Not available,Aduunchuluun LLC,2012,0,0
1422E,1.2.2License fee for exploitation and exploration of mineral resources,Mineral Resources Authority,Aduunchuluun LLC,2012,605e3,448.1713866644937
1422E,1.3.1 Customs service fee,Customs Office,Aduunchuluun LLC,2012,96e3,71.11479854510975
1422E,"Stamp fee for licensing possess, utilization, sale, montage, place, rent, produce, decommission, demontage, store, transport, import, export of nuclear generator, dump treatment, deactivate and other related activities, and revenues.",Not available,Aduunchuluun LLC,2012,0,0
1422E,Stamp fee paid to local budget,Not available,Aduunchuluun LLC,2012,0,0
1422E,Stamp fees paid to state central administration and ministries,Not available,Aduunchuluun LLC,2012,0,0
1422E,1.2.4 Payment for recruiting foreign experts and workers (State Budget),Ministry of Labour,Aduunchuluun LLC,2012,0,0
1422E,2.2.4 Payment for recruiting foreign experts and workers (Local Budget),Local Department of Taxation,Aduunchuluun LLC,2012,0,0
143E,1.6.1 Penalty (to state),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Aduunchuluun LLC,2012,3808e3,2820.8870089560196
143E,1.6.2 Compensation (to State Budget),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Aduunchuluun LLC,2012,0,0
143E,2.5.1 Penalty (to Local budget),Local Department of Taxation,Aduunchuluun LLC,2012,39e5,2889.038690895083
143E,2.5.2 Compensation (to Local Budget),Local Department of Taxation,Aduunchuluun LLC,2012,0,0
144E1,3. Donationa and assistance paid to state entities,Ministries and Agencies,Aduunchuluun LLC,2012,6299e3,4666.167875371315
1112E1,1.1.1 Corporate income tax,General Department of Taxation,Asiagold Mongolia,2012,13833e3,10247.198002859406
1112E2,1.6.3 Windfall tax,"Mineral Resources Authority, Petroleum Authority",Asiagold Mongolia,2012,0,0
113E,2.1.1 Real estate tax,Local Department of Taxation,Asiagold Mongolia,2012,0,0
113E,2.2.1 Land fee,Local Department of Taxation,Asiagold Mongolia,2012,0,0
1141E,1.1.3 VAT - Value Added Tax,General Department of Taxation,Asiagold Mongolia,2012,475e3,351.8700969679909
1141E,1.1.5 Tax on vehicle's gasoline and diesel fuel,Customs Office,Asiagold Mongolia,2012,0,0
1142E,1.1.4 Excise tax on vehicle's gasoline and diesel fuel,Customs Office,Asiagold Mongolia,2012,0,0
114521E,2.2.2 Fee for water use,Local Department of Taxation,Asiagold Mongolia,2012,75e4,555.5843636336699
114521E,2.2.3 Fee for use of wide spread mineral resources,Local Department of Taxation,Asiagold Mongolia,2012,0,0
114521E,Fee for forestry use and fire wood,Not available,Asiagold Mongolia,2012,0,0
114522E,1.2.11 Fee for air pollution (for only coal extracting companies),General Department of Taxation,Asiagold Mongolia,2012,0,0
114522E,2.5.3 Contribution (deposit) at rate of 50% to Environmental protection special account,"Ministry of Environment, Green development and Tourism",Asiagold Mongolia,2012,2e6,1481.5583030231196
11451E,2.1.2 Tax on vehicles and self-moving mechanisms,Local Department of Taxation,Asiagold Mongolia,2012,0,0
1151E,1.1.2 Customs tax,Customs Office,Asiagold Mongolia,2012,226e3,167.41608824161253
116E,1.6.4 Other (State Budget),Other,Asiagold Mongolia,2012,0,0
116E,2.5.4 Other (Local Budget),Other,Asiagold Mongolia,2012,0,0
1212E,1.2.12 Social and health insurance charges paid from entity,General Department of Social Insurance,Asiagold Mongolia,2012,3782e3,2801.626751016719
1412E2,1.4.1 Dividends on State Property,Ministry of Finance,Asiagold Mongolia,2012,0,0
1412E2,2.4.1 Dividends on Local Property,Ministry of Finance,Asiagold Mongolia,2012,0,0
1415E1,1.2.1 Fee and extra charges for exploitation of mineral resources,General Department of Taxation,Asiagold Mongolia,2012,0,0
1415E1,"1.5.4 Royalty 
(otherwise part of 1.5.3 Petroleum income according to Product sharing agreement)",Ministry of Finance,Asiagold Mongolia,2012,0,0
1415E2,1.2.5 Bonus after signing Product Sharing Agreement,Not available,Asiagold Mongolia,2012,0,0
1415E2,1.2.7 Bonus for training,Not available,Asiagold Mongolia,2012,0,0
1415E31,1.5.1 Advance payments to Government,Ministry of Finance,Asiagold Mongolia,2012,0,0
1415E31,1.5.3 Petroleum income according to Product sharing agreement,Ministry of Finance,Asiagold Mongolia,2012,0,0
1415E31,2.2.5 Support activities from oil companies to local budget (according to agreement),Petroleum Authority,Asiagold Mongolia,2012,0,0
1415E31,"1.2.3 Payment for deposit, exploration carried out by Government",Mineral Resources Authority,Asiagold Mongolia,2012,6988e3,5176.56471076278
1415E31,1.2.8 Field deposit according to pledge area under the Production Sharing Agreement,Mineral Resources Authority,Asiagold Mongolia,2012,0,0
1421E,1.2.9 Administration and service charges in accordance with Production Sharing Agreement,Petroleum Authority,Asiagold Mongolia,2012,0,0
1421E,1.2.10 Fee for supporting field office in according to Production Sharing Agreement,Not available,Asiagold Mongolia,2012,0,0
1421E,Service charges paid to local administration,Not available,Asiagold Mongolia,2012,0,0
1421E,Service fees paid to state central administration and ministries,Not available,Asiagold Mongolia,2012,1690744,1252.4679057432606
1421E,Service fee for foreign experts and workers,Not available,Asiagold Mongolia,2012,0,0
1422E,1.2.2License fee for exploitation and exploration of mineral resources,Mineral Resources Authority,Asiagold Mongolia,2012,158775e3,117617.2097812479
1422E,1.3.1 Customs service fee,Customs Office,Asiagold Mongolia,2012,28e3,20.741816242323676
1422E,"Stamp fee for licensing possess, utilization, sale, montage, place, rent, produce, decommission, demontage, store, transport, import, export of nuclear generator, dump treatment, deactivate and other related activities, and revenues.",Not available,Asiagold Mongolia,2012,0,0
1422E,Stamp fee paid to local budget,Not available,Asiagold Mongolia,2012,0,0
1422E,Stamp fees paid to state central administration and ministries,Not available,Asiagold Mongolia,2012,0,0
