SECTOR,ID_PASO_EITI,CICLO,PERIODO,ID_ENTIDAD_FEDERATIVA_ENTREGA_ITEMS_PROCED,ENTIDAD_FEDERATIVA_ENTREGA_ITEMS_PROCED,ID_MUNICIPIO_ENTREGA_ITEMS_PROCED,MUNICIPIO_ENTREGA_ITEMS_PROCED,TIPO_COORDENADAS,COORDENADAS_DETALLE_1,COORDENADAS_DETALLE_2,COORDENADAS_DETALLE_3,COORDENADAS_DETALLE_4,ID_TIPO_CONTRATO,DESC_TIPO_CONTRATO,OCID,ID_CONTRATO,DESC_CONTRATO,ID_ADICIONAL_CONTRATO,ID_EXPEDIENTE,NUMERO_PROCED,ID_ITEMS_CONTRATO,DESC_ITEMS_CONTRATO,SUPERFICIE,UNIDAD,URL_LOCALIZACION_ITEMS_CONTRATO,ESTATUS_CONTRATO,DETALLE_ESTATUS_CONTRATO,FECHA_ADJUDICACION,URL_DOCUMENTO_ADJUDICACION,FECHA_FIRMA_CONTRATO,FECHA_INICIO_CONTRATO,FECHA_FIN_CONTRATO,DURACION_MAXIMA_CONTRATO,DURACION_DIAS_CONTRATO,NUMERO_PRORROGAS,DURACION_PRORROGAS,ID_ORGANIZACION,DESC_ORGANIZACION,ID_ADICIONAL_ORGANIZACION,TIPO_ORGANIZACION,PAIS_ORGANIZACION,GIRO_ORGANIZACION,EMPLEADOS_CONTRATADOS,EMPLEADOS_AFILIADOS,ID_DOCUMENTO_CONTRATO,DESC_TIPO_DOCUMENTO_CONTRATO,NOMBRE_DOCUMENTO_CONTRATO,DETALLE_DOCUMENTO_CONTRATO,URL_DOCUMENTO_CONTRATO,FECHA_PUBLICACION_DOCUMENTO_CONTRATO,FECHA_ACTUALIZACION_DOCUMENTO_CONTRATO,FORMATO_DOCUMENTO_CONTRATO,IDIOMA_DOCUMENTO_CONTRATO,ID_HITO_CONTRATO,DESC_HITO_CONTRATO,TIPO_HITO_CONTRATO,DETALLE_HITO_CONTRATO,FECHA_PLANEADA_HITO_CONTRATO,FECHA_CUMPLIMIENTO_HITO_CONTRATO,FECHA_MODIFICADA_HITO_CONTRATO,ESTATUS_HITO_CONTRATO,ID_DOCUMENTO_HITO_CONTRATO,TIPO_DOCUMENTO_HITO_CONTRATO,NOMBRE_DOCUMENTO_HITO_CONTRATO,DETALLE_DOCUMENTO_HITO_CONTRATO,URL_DOCUMENTO_HITO_CONTRATO,FECHA_PUBLICACION_DOCUMENTO_HITO_CONTRATO,FECHA_ACTUALIZACION_DOCUMENTO_HITO_CONTRATO,FORMATO_DOCUMENTO_HITO_CONTRATO,IDIOMA_DOCUMENTO_HITO_CONTRATO,FECHA_PUBLICACION,FECHA_ACTUALIZACION,FUENTE_INFORMACION,CONTACTO_INFORMACION
Hidrocarburos,1,2018,Septiembre,28,Tamaulipas,32,Reynosa,Geográficas,-98.51583,26.03083,0,Centroide,9,Asignación de extracción,N/A,A-0019,Terrestre,N/A,0,N/A,19,Árabe,3.81567,km2,N/A,Vigente,N/A,N/A,N/A,2014-08-13,2014-08-13,2034-08-13,20,7305,2,5+5 años,N/A,Pemex Exploración y Producción,N/A,N/A,México,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A-0019-M.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-09-24,2018-09-24,Comisión Nacional de Hidrocarburos,estadistica@cnh.gob.mx
Hidrocarburos,1,2018,Septiembre,30,Veracruz,174,Tierra Blanca,Geográficas,-96.16477,18.55644,0,Centroide,9,Asignación de extracción,N/A,A-0021,Terrestre,N/A,0,N/A,21,Aral,17.79021,km2,N/A,Vigente,N/A,N/A,N/A,2014-08-13,2014-08-13,2034-08-13,20,7305,2,5+5 años,N/A,Pemex Exploración y Producción,N/A,N/A,México,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A-0021-M.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-09-24,2018-09-24,Comisión Nacional de Hidrocarburos,estadistica@cnh.gob.mx
Hidrocarburos,1,2018,Septiembre,28,Tamaulipas,25,Miguel Alemán,Geográficas,-99.0852,26.11754,0,Centroide,9,Asignación de extracción,N/A,A-0022,Terrestre,N/A,0,N/A,22,Arcabúz,115.928,km2,N/A,Vigente,N/A,N/A,N/A,2014-08-13,2014-08-13,2034-08-13,20,7305,2,5+5 años,N/A,Pemex Exploración y Producción,N/A,N/A,México,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A-0022-M.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-09-24,2018-09-24,Comisión Nacional de Hidrocarburos,estadistica@cnh.gob.mx
Hidrocarburos,1,2018,Septiembre,28,Tamaulipas,24,Mier,Geográficas,-99.17749,26.48818,0,Centroide,9,Asignación de extracción,N/A,A-0023,Terrestre,N/A,0,N/A,23,Arcos,50.7792,km2,N/A,Vigente,N/A,N/A,N/A,2014-08-13,2014-08-13,2034-08-13,20,7305,2,5+5 años,N/A,Pemex Exploración y Producción,N/A,N/A,México,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A-0023-M.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-09-24,2018-09-24,Comisión Nacional de Hidrocarburos,estadistica@cnh.gob.mx
Hidrocarburos,1,2018,Septiembre,30,Veracruz,178,Tlacotalpan,Geográficas,-95.61991,18.40972,0,Centroide,9,Asignación de extracción,N/A,A-0025,Terrestre,N/A,0,N/A,25,Aris,7.28712,km2,N/A,Vigente,N/A,N/A,N/A,2014-08-13,2014-08-13,2034-08-13,20,7305,2,5+5 años,N/A,Pemex Exploración y Producción,N/A,N/A,México,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A-0025-M.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-09-24,2018-09-24,Comisión Nacional de Hidrocarburos,estadistica@cnh.gob.mx
Hidrocarburos,1,2018,Septiembre,30,Veracruz,84,Ixmatlahuacan,Geográficas,-95.8852,18.40618,0,Centroide,9,Asignación de extracción,N/A,A-0026,Terrestre,N/A,0,N/A,26,Arquimia,23.4814,km2,N/A,Vigente,N/A,N/A,N/A,2014-08-13,2014-08-13,2034-08-13,20,7305,2,5+5 años,N/A,Pemex Exploración y Producción,N/A,N/A,México,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A-0026-M.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-09-24,2018-09-24,Comisión Nacional de Hidrocarburos,estadistica@cnh.gob.mx
Hidrocarburos,1,2018,Septiembre,27,Tabasco,8,Huimanguillo,Geográficas,-93.75764,17.91736,0,Centroide,9,Asignación de extracción,N/A,A-0027,Terrestre,N/A,0,N/A,27,Arroyo Prieto,9.75831,km2,N/A,Vigente,N/A,N/A,N/A,2014-08-13,2014-08-13,2034-08-13,20,7305,2,5+5 años,N/A,Pemex Exploración y Producción,N/A,N/A,México,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A-0027-M.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-09-24,2018-09-24,Comisión Nacional de Hidrocarburos,estadistica@cnh.gob.mx
Hidrocarburos,1,2018,Septiembre,7,Chiapas,48,Juárez,Geográficas,-93.15841,17.72618,0,Centroide,9,Asignación de extracción,N/A,A-0029,Terrestre,N/A,0,N/A,29,Artesa,43.1724,km2,N/A,Vigente,N/A,N/A,N/A,2014-08-13,2014-08-13,2034-08-13,20,7305,2,5+5 años,N/A,Pemex Exploración y Producción,N/A,N/A,México,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A-0029-M.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-09-24,2018-09-24,Comisión Nacional de Hidrocarburos,estadistica@cnh.gob.mx
Hidrocarburos,1,2018,Septiembre,30,Veracruz,N/A,Marino,Geográficas,-97.01192,20.86134,0,Centroide,9,Asignación de extracción,N/A,A-0031,Aguas someras,N/A,0,N/A,31,Atún,34.10513,km2,N/A,Vigente,N/A,N/A,N/A,2014-08-13,2014-08-13,2034-08-13,20,7305,2,5+5 años,N/A,Pemex Exploración y Producción,N/A,N/A,México,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A-0031-M.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-09-24,2018-09-24,Comisión Nacional de Hidrocarburos,estadistica@cnh.gob.mx
Hidrocarburos,1,2018,Septiembre,4,Campeche,N/A,Marino,Geográficas,-92.35615,19.62542,0,Centroide,9,Asignación de extracción,N/A,A-0032,Aguas someras,N/A,0,N/A,32,Ayatsil,87.33996,km2,N/A,Vigente,N/A,N/A,N/A,2014-08-13,2014-08-13,2034-08-13,20,7305,2,5+5 años,N/A,Pemex Exploración y Producción,N/A,N/A,México,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A-0032-M.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-09-24,2018-09-24,Comisión Nacional de Hidrocarburos,estadistica@cnh.gob.mx
Hidrocarburos,1,2018,Septiembre,27,Tabasco,N/A,Marino,Geográficas,-92.92969,19.13073,0,Centroide,9,Asignación de extracción,N/A,A-0033,Aguas someras,N/A,0,N/A,33,Ayín,25.74891,km2,N/A,Vigente,N/A,N/A,N/A,2018-05-31,2018-05-31,2034-08-13,20,5918,2,5+5 años,N/A,Pemex Exploración y Producción,N/A,N/A,México,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A-0033-M.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-09-24,2018-09-24,Comisión Nacional de Hidrocarburos,estadistica@cnh.gob.mx
Hidrocarburos,1,2018,Septiembre,27,Tabasco,8,Huimanguillo,Geográficas,-93.75039,17.89807,0,Centroide,9,Asignación de extracción,N/A,A-0034,Terrestre,N/A,0,N/A,34,Ayocote,78.89306,km2,N/A,Vigente,N/A,N/A,N/A,2014-08-13,2014-08-13,2034-08-13,20,7305,2,5+5 años,N/A,Pemex Exploración y Producción,N/A,N/A,México,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A-0034-M.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-09-24,2018-09-24,Comisión Nacional de Hidrocarburos,estadistica@cnh.gob.mx
Hidrocarburos,1,2018,Septiembre,4,Campeche,N/A,Marino,Geográficas,-92.11897,19.56496,0,Centroide,9,Asignación de extracción,N/A,A-0035,Aguas someras,N/A,0,N/A,35,Bacab,89.7895,km2,N/A,Vigente,N/A,N/A,N/A,2014-08-13,2014-08-13,2034-08-13,20,7305,2,5+5 años,N/A,Pemex Exploración y Producción,N/A,N/A,México,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A-0035-M.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-09-24,2018-09-24,Comisión Nacional de Hidrocarburos,estadistica@cnh.gob.mx
Hidrocarburos,1,2018,Septiembre,30,Veracruz,N/A,Marino,Geográficas,-97.04689,20.97097,0,Centroide,9,Asignación de extracción,N/A,A-0037,Aguas someras,N/A,0,N/A,37,Bagre,49.9237,km2,N/A,Vigente,N/A,N/A,N/A,2014-08-13,2014-08-13,2034-08-13,20,7305,2,5+5 años,N/A,Pemex Exploración y Producción,N/A,N/A,México,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A-0037-M.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-09-24,2018-09-24,Comisión Nacional de Hidrocarburos,estadistica@cnh.gob.mx
Hidrocarburos,1,2018,Septiembre,30,Veracruz,49,Cotaxtla,Geográficas,-96.32292,18.85938,0,Centroide,9,Asignación de extracción,N/A,A-0040,Terrestre,N/A,0,N/A,40,Barajas,6.45225,km2,N/A,Vigente,N/A,N/A,N/A,2014-08-13,2014-08-13,2034-08-13,20,7305,2,5+5 años,N/A,Pemex Exploración y Producción,N/A,N/A,México,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A-0040-M.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-09-24,2018-09-24,Comisión Nacional de Hidrocarburos,estadistica@cnh.gob.mx
Hidrocarburos,1,2018,Septiembre,19,Nuevo León,20,General Bravo,Geográficas,-98.66111,25.80278,0,Centroide,9,Asignación de extracción,N/A,A-0041,Terrestre,N/A,0,N/A,41,Barunda,4.58594,km2,N/A,Vigente,N/A,N/A,N/A,2014-08-13,2014-08-13,2034-08-13,20,7305,2,5+5 años,N/A,Pemex Exploración y Producción,N/A,N/A,México,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A-0041-M.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-09-24,2018-09-24,Comisión Nacional de Hidrocarburos,estadistica@cnh.gob.mx
Hidrocarburos,1,2018,Septiembre,4,Campeche,N/A,Marino,Geográficas,-92.31692,19.28573,0,Centroide,9,Asignación de extracción,N/A,A-0042,Aguas someras,N/A,0,N/A,42,Batab,53.03698,km2,N/A,Vigente,N/A,N/A,N/A,2014-08-13,2014-08-13,2034-08-13,20,7305,2,5+5 años,N/A,Pemex Exploración y Producción,N/A,N/A,México,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A-0042-M.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-09-24,2018-09-24,Comisión Nacional de Hidrocarburos,estadistica@cnh.gob.mx
Hidrocarburos,1,2018,Septiembre,28,Tamaulipas,33,Río Bravo,Geográficas,-98.10833,25.57083,0,Centroide,9,Asignación de extracción,N/A,A-0043,Terrestre,N/A,0,N/A,43,Bato,4.59331,km2,N/A,Vigente,N/A,N/A,N/A,2014-08-13,2014-08-13,2034-08-13,20,7305,2,5+5 años,N/A,Pemex Exploración y Producción,N/A,N/A,México,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A-0043-M.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-09-24,2018-09-24,Comisión Nacional de Hidrocarburos,estadistica@cnh.gob.mx
Hidrocarburos,1,2018,Septiembre,19,Nuevo León,13,China,Geográficas,-98.68403,25.71806,0,Centroide,9,Asignación de extracción,N/A,A-0044,Terrestre,N/A,0,N/A,44,Bayo,9.17728,km2,N/A,Vigente,N/A,N/A,N/A,2014-08-13,2014-08-13,2034-08-13,20,7305,2,5+5 años,N/A,Pemex Exploración y Producción,N/A,N/A,México,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A-0044-M.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-09-24,2018-09-24,Comisión Nacional de Hidrocarburos,estadistica@cnh.gob.mx
Hidrocarburos,1,2018,Septiembre,30,Veracruz,94,Juan Rodríguez Clara,Geográficas,-95.44613,17.83304,0,Centroide,9,Asignación de extracción,N/A,A-0045,Terrestre,N/A,0,N/A,45,Bedel,22.7864,km2,N/A,Vigente,N/A,N/A,N/A,2014-08-13,2014-08-13,2034-08-13,20,7305,2,5+5 años,N/A,Pemex Exploración y Producción,N/A,N/A,México,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A-0045-M.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-09-24,2018-09-24,Comisión Nacional de Hidrocarburos,estadistica@cnh.gob.mx
